State/Parent NTD ID,NTD ID,Legacy NTD ID,Agency Name,Division/Department,Reporter Acronym,Doing Business As,Reporter Type,Reporting Module,Organization Type,Reported By NTD ID,Reported by Name,Public Sponsor,Subrecipient Type,FY End Date,Original Due Date,Address Line 1,Address Line 2,P.O. Box,City,State,Zip Code,Zip Code Ext,Region,URL,FTA Recipient ID,UEID, Service Area Sq Miles , Service Area Pop ,Primary UZA UACE Code,UZA Name,Tribal Area Name, Population , Density , Sq Miles , VOMS DO , VOMS PT , Total VOMS ,Volunteer Drivers,Personal Vehicles,TAM Tier,Number of State Counties,Number of Counties with Service, State Admin Funds Expended 
4R04,41006,4R04-016,Sandy Valley Transportation Services,,SVTS,,Rural Reporter,Rural,Private-Non-Profit Corporation,4R04,Kentucky Transportation Cabinet,,Rural General Public Transit,6/30/24,10/31/24,81 Resource Ct,,,Prestonsburg,KY,41653,7850,4,http://svtransport.org/,1003,JFNNAD6GY3S1,,,,,, -   , -   , -   , 76 ,, 76 ,0,0,Tier II,,,
4R03,41007,4R03-080,Dade County,Public Transportation,,,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",4R03,Georgia Department of Transportation,,Rural General Public Transit,6/30/24,10/31/24,71 Case Ave,,613,Trenton,GA,30752,2429,4,http://dadecounty-ga.gov/192/Dade-County-Transit,1002,UMY2K9K6KW63,,,,,, -   , -   , -   , 6 ,, 6 ,0,0,Tier II,,,
4R03,41008,4R03-024,Jenkins County,Transit,JCT,,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",4R03,Georgia Department of Transportation,,Rural General Public Transit,6/30/24,10/31/24,833 E Winthrope Ave,,797,Millen,GA,30442,1837,4,http://jenkinscountyga.com/transportation.php,1002,FL2KA5LE7221,,,,,, -   , -   , -   , 2 ,, 2 ,0,0,Tier II,,,
4R01,41009,4R01-023,City of Guntersville,Transportation,,Guntersville Public Transportation,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",4R01,Alabama Department of Transportation,,Rural General Public Transit,9/30/24,1/31/25,341 Gunter Ave,,,Guntersville,AL,35976,1128,4,guntersvilleal.org/transportation,1000,EJYEBWLEKUH1,,,,,, -   , -   , -   , 5 ,, 5 ,0,0,Tier II,,,
4R06,41010,4R06-063,Person County,Transportation,PATS,,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",4R06,North Carolina Department of Transportation,,Rural General Public Transit,6/30/24,10/31/24,304 S Morgan St,,,Roxboro,NC,27573,5245,4,https://www.personcountync.gov/departments-services/departments-i-z/transportation-pats,1005,FQ8LFJGMABJ4,,,,,, -   , -   , -   , 11 ,, 11 ,0,0,Tier II,,,
4R03,41012,4R03-077,Chattooga County,Public Works,,,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",4R03,Georgia Department of Transportation,,Rural General Public Transit,6/30/24,10/31/24,10102 Commerce St,,211,Summerville,GA,30747,1357,4,https://chattoogacounty.org/221/Transit-System,1002,C76MGNKNDQK6,,,,,, -   , -   , -   , 3 ,, 3 ,0,0,Tier II,,,
,41013,4R04-012,Paducah Transit Authority,,PTA,Paducah Area Transit System,Reduced Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,,6/30/24,10/31/24,850 Harrison St,,,Paducah,KY,42001,1862,4,http://www.paducahtransit.com/,1003,XP5LMCYW58S8," 1,475 "," 50,082 ",66781,"Paducah, KY--IL",," 50,833 "," 1,227.5 ", 41.4 , 28 ,, 28 ,,,Tier II,,,
4R03,41017,4R03-123,Dooly County,Public Transportation,HCT,,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",4R03,Georgia Department of Transportation,,Rural General Public Transit,6/30/24,10/31/24,113 N 3Rd St Rm 1,,,Vienna,GA,31092,1103,4,https://doolycountyga.com/public-transportation/,1002,FEDFGAS6VEZ1,,,,,, -   , -   , -   ,, 6 , 6 ,0,0,Tier II,,,
4R03,41019,4R03-048,Troup County,Transit,TCT,Troup Transit,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",4R03,Georgia Department of Transportation,,Rural General Public Transit,6/30/24,10/31/24,100 Ridley Ave,,,Lagrange,GA,30240,2724,4,http://www.troupcountyga.org/Services/Transit,1002,MVHAD45K6R32,,,,,, -   , -   , -   , 8 ,, 8 ,0,0,Tier II,,,
4R08,41020,4R08-010,Delta Human Resource Agency,,DELTA HRA,,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,4R08,Tennessee Department of Transportation,,Rural General Public Transit,6/30/24,10/31/24,915 Hwy 51 S,,634,Covington,TN,38019,3205,4,https://deltahumanresourceagency.com/transportation-services,1007,NKMRULK9GVL7,,,,,, -   , -   , -   , 30 ,, 30 ,0,0,Tier II,,,
