State/Parent NTD ID,NTD ID,Legacy NTD ID,Agency Name,Division/Department,Reporter Acronym,Doing Business As,Reporter Type,Reporting Module,Organization Type,Reported By NTD ID,Reported by Name,Public Sponsor,Subrecipient Type,FY End Date,Original Due Date,Address Line 1,Address Line 2,P.O. Box,City,State,Zip Code,Zip Code Ext,Region,URL,FTA Recipient ID,UEID, Service Area Sq Miles , Service Area Pop ,Primary UZA UACE Code,UZA Name,Tribal Area Name, Population , Density , Sq Miles , VOMS DO , VOMS PT , Total VOMS ,Volunteer Drivers,Personal Vehicles,TAM Tier,Number of State Counties,Number of Counties with Service, State Admin Funds Expended 
4R07,40974,4R07-027,Bamberg County Office On Aging,,BCOOA,,Rural Reporter,Rural,Area Agency on Aging,4R07,South Carolina Department of Transportation,,Rural General Public Transit,6/30/24,10/31/24,498 Log Branch Rd,,6,Bamberg,SC,29003,,4,http://www.bcooa.org,1006,WFWARW89QLE5,,,,,, -   , -   , -   , 33 ,, 33 ,0,0,Tier II,,,
4R06,40976,4R06-028,Madison County Transportation Authority,,MCTA,,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",4R06,North Carolina Department of Transportation,,Rural General Public Transit,6/30/24,10/31/24,P.O. Box 189,,189,Marshall,NC,28753,0177,4,https://www.madisoncountync.gov/transportation-authority.html,1005,YQ96F8BJYTJ9,,,,,, -   , -   , -   , 11 ,, 11 ,0,0,Tier II,,,
4R03,40977,4R03-023,Jefferson County,Transit,JCT,Jefferson Transit,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",4R03,Georgia Department of Transportation,,Rural General Public Transit,6/30/24,10/31/24,217 E Broad St,,658,Louisville,GA,30434,1621,4,http://www.jeffersoncountyga.gov/218/Transit,1002,PUEMHBUYBS27,,,,,, -   , -   , -   , 8 ,, 8 ,0,0,Tier II,,,
4R08,40978,4R08-005,Upper-Cumberland Human Resource Agency,,UCHRA,,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,4R08,Tennessee Department of Transportation,,Rural General Public Transit,6/30/24,10/31/24,580 S Jefferson Ave Ste B,,,Cookeville,TN,38501,4673,4,http://www.uchra.com,1007,NQETB84MNEG8,,,,,, -   , -   , -   , 102 ,, 102 ,0,0,Tier II,,,
4R04,40979,4R04-022,"KY River Foothills Development Council, Inc.",,KRFDC,,Rural Reporter,Rural,Private-Non-Profit Corporation,4R04,Kentucky Transportation Cabinet,,Rural General Public Transit,6/30/24,10/31/24,6021 Atwood Dr,,,Richmond,KY,40475,8320,4,https://foothillscap.org/programs/transportation-department/,1003,MMBKQHZ91J29,,,,,, -   , -   , -   , 28 ,, 28 ,0,0,Tier II,,,
4R01,40982,4R01-024,"H.EL.P., Inc.",Transportation,,,Rural Reporter,Rural,Private-Non-Profit Corporation,4R01,Alabama Department of Transportation,,Rural General Public Transit,9/30/24,1/31/25,190 William E Hill Dr,,499,Carrollton,AL,35447,3249,4,N/A,1000,DTJ8PBVGG731,,,,,, -   , -   , -   , 5 ,, 5 ,0,0,Tier II,,,
4R06,40983,4R06-042,Rutherford County,Transportation,RCT,,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",4R06,North Carolina Department of Transportation,,Rural General Public Transit,6/30/24,10/31/24,289 N Main St,,,Rutherfordton,NC,28139,2549,4,https://www.rutherfordcountync.gov/Departments/transit/,1005,GTATPCDJVYN8,,,,,, -   , -   , -   , 16 ,, 16 ,0,0,Tier II,,,
4R06,40984,4R06-105,Western Carolina Community Action,Transportation,WCCA,WNC Source,Rural Reporter,Rural,Private-Non-Profit Corporation,4R06,North Carolina Department of Transportation,,Rural General Public Transit,6/30/24,10/31/24,220 King Creek Blvd,,,Hendersonville,NC,28792,4895,4,https://wcca.org/wcca-services/apple-country-transportation/,1005,NZKVDHFCJE63,,,,,, -   , -   , -   , 7 ,, 7 ,0,0,Tier II,,,
4R03,40985,4R03-001,Banks County,Public Transit,,,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",4R03,Georgia Department of Transportation,,Rural General Public Transit,6/30/24,10/31/24,150 Hudson Rdg Ste 1,,187,Homer,GA,30547,3125,4,https://www.bankscountyga.org/transit,1002,FNSWME2KENG3,,,,,, -   , -   , -   , 2 ,, 2 ,0,0,Tier II,,,
4R01,40986,4R01-011,Dekalb County Commission,Rural Public Transportation,,DeKalb County Rural Public Transportation,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",4R01,Alabama Department of Transportation,,Rural General Public Transit,9/30/24,1/31/25,111 Grand Ave Sw Ste 200,STE 200,,Fort Payne,AL,35967,1991,4,https://dekalbcountyal.us/rural-public-transportation/,1000,D61SKN1E1WD9,,,,,, -   , -   , -   , 12 ,, 12 ,0,0,Tier II,,,
4R05,40987,4R05-019,Copiah County Human Resource Agency,,CCHRA,,Rural Reporter,Rural,Private-Non-Profit Corporation,4R05,Mississippi Department of Transportation,,Rural General Public Transit,9/30/24,1/31/25,100 Caldwell Dr,,448,Hazlehurst,MS,39083,3023,4,http://mssmartregion.org/transit_providers/copiah_,1009,YS3HUDUCXZM7,,,,,, -   , -   , -   , 9 ,, 9 ,0,0,Tier II,,,
4R07,40988,4R07-004,Edgefield County Senior Citizens Council,,ECSCC,,Rural Reporter,Rural,Private-Non-Profit Corporation,4R07,South Carolina Department of Transportation,,Rural General Public Transit,6/30/24,10/31/24,15 Center Spring Rd,,1109,Edgefield,SC,29824,3961,4,http://www.edgefieldcountyseniorcenter.org,1006,J4ERHAXT6RM5,,,,,, -   , -   , -   , 11 ,, 11 ,0,0,Tier II,,,
4R08,40989,4R08-004,Southeast Tennessee Human Resource Agency-Rural Division,,SETHRA,,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,4R08,Tennessee Department of Transportation,,Rural General Public Transit,6/30/24,10/31/24,312 Resource Rd,,909,Dunlap,TN,37327,3342,4,http://www.sethra.us,1007,ZRXWHNPA7T45,,,,,, -   , -   , -   , 83 ,, 83 ,0,0,Tier II,,,
4R06,40990,4R06-029,Martin County,Transportation,MCT,,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",4R06,North Carolina Department of Transportation,,Rural General Public Transit,6/30/24,10/31/24,305 E Main St,,668,Williamston,NC,27892,2566,4,www.martincountyncgov.com,1005,HA4QLH34LNS3,,,,,, -   , -   , -   , 8 ,, 8 ,0,0,Tier II,,,
4R09,40991,1R05-006,Municipality of Utuado,,,,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",4R09,Puerto Rico Highway and Transportation Authority,,Rural General Public Transit,6/30/24,10/31/24,16 Calle Betances,,190,Utuado,PR,00641,2949,4,,6703,PWZANJ7WJZB5,,,,,, -   , -   , -   , 1 ,, 1 ,0,0,Tier II,,,
4R06,40993,4R06-065,Wilson County,Transportation,WCTS,,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",4R06,North Carolina Department of Transportation,,Rural General Public Transit,6/30/24,10/31/24,2201 Miller Rd South,,1728,Wilson,NC,27893,6860,4,http://www.wilson-co.com,1005,ME2DJHMYWG55,,,,,, -   , -   , -   ,, 11 , 11 ,0,0,Tier II,,,
4R03,40994,4R03-006,Habersham County,Transit,,,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",4R03,Georgia Department of Transportation,,Rural General Public Transit,6/30/24,10/31/24,130 Jacobs Way,STE 103,,Clarkesville,GA,30523,5255,4,https://www.habershamga.com/transit.cfm,1002,LR3NT2GRVJK7,,,,,, -   , -   , -   , 2 ,, 2 ,0,0,Tier II,,,
4R06,40996,4R06-006,Caswell County,Transportation,CATS,,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",4R06,North Carolina Department of Transportation,,Rural General Public Transit,6/30/24,10/31/24,144 Court Sq,,99,Yanceyville,NC,27379,8005,4,https://www.caswellcountync.gov/pview.aspx?id=8782&catid=600,1005,JDJ7Y7CGYC86,,,,,, -   , -   , -   , 9 ,, 9 ,0,0,Tier II,,,
4R04,40997,4R04-032,Owen County Fiscal Court,Transit,OCFC,,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",4R04,Kentucky Transportation Cabinet,,Rural General Public Transit,6/30/24,10/31/24,100 N Thomas St,,,Owenton,KY,40359,1552,4,https://www.owencountyky.us/public-transit,1003,JNJ9C6AR32U7,,,,,, -   , -   , -   , 12 ,, 12 ,0,0,Tier II,,,
,40999,4R02-032,Sumter County Board of County Commissioners,Public Works,SCT,Sumter County Transit,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,,9/30/24,1/31/25,7375 Powell Rd Ste 200,,,Wildwood,FL,34785,4203,4,http://www.sumtercountyfl.gov/transit,1001,E77FJPLFWEL2, 557 ," 156,746 ",87285,"The Villages--Lady Lake, FL",," 161,736 "," 1,641.6 ", 98.5 ,, 22 , 22 ,,,Tier II,,,
4R03,41001,4R03-122,"Southeastern Stages, Inc.",,,,Rural Reporter,Rural,Private-For-Profit Corporation,4R03,Georgia Department of Transportation,,Intercity Bus,6/30/24,10/31/24,260 University Ave Sw,,,Atlanta,GA,30315,2125,4,http://www.southeasternstages.com/,1002,FBA8USKV9RM8,,,,,, -   , -   , -   ,,,,,,Tier II,,,
4R07,41001,4R03-122,"Southeastern Stages, Inc.",,,,Rural Reporter,Rural,Private-For-Profit Corporation,4R07,South Carolina Department of Transportation,,Intercity Bus,6/30/24,10/31/24,260 University Ave Sw,,,Atlanta,GA,30315,2125,4,http://www.southeasternstages.com/,1002,FBA8USKV9RM8,,,,,, -   , -   , -   ,,,,,,Tier II,,,
4R07,41002,4R07-006,Generations Unlimited,,GU,,Rural Reporter,Rural,Area Agency on Aging,4R07,South Carolina Department of Transportation,,Rural General Public Transit,6/30/24,10/31/24,10915 Ellenton St,,1149,Barnwell,SC,29812,7305,4,https://generationsunlimited.org/,1006,G16ENL1QDUL8,,,,,, -   , -   , -   , 4 ,, 4 ,0,0,Tier II,,,
4R07,41003,4R07-005,Fairfield County Transit System,Transit System,FCTS,,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",4R07,South Carolina Department of Transportation,,Rural General Public Transit,6/30/24,10/31/24,250 N Walnut St,,684,Winnsboro,SC,29180,1732,4,https://www.fairfieldsc.com/departments/transit-system,1006,F7LMMWPNFKV9,,,,,, -   , -   , -   , 16 ,, 16 ,0,0,Tier II,,,
4R06,41004,4R06-007,Chatham Transit Network,Transportation,CTN,,Rural Reporter,Rural,Private-Non-Profit Corporation,4R06,North Carolina Department of Transportation,,Rural General Public Transit,6/30/24,10/31/24,12 East St,,1032,Pittsboro,NC,27312,5761,4,http://www.chathamtransit.org,1005,KE57QE2GV5F1,,,,,, -   , -   , -   , 20 ,, 20 ,0,0,Tier II,,,
4R09,41005,1R05-002,Municipality of Barranquitas,,,,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",4R09,Puerto Rico Highway and Transportation Authority,,Asset Subrecipient,6/30/24,10/31/24,23Calle Munoz Rivera 24 Casa Alcaldia,,250,Barranquitas,PR,00794,,4,,,H8JHM6FPKFJ7,,,,,, -   , -   , -   ,,,,,,Tier II,,,
