Agency,UZA_Name,UACE_Code,Report_Year,Mode_Name,UZA_Area(Sq Miles),UZA_Pop,Service_Area(Sq Miles),Service_Area_Pop,Time_Period,VRM,VRH,UPT
Intercity Transit,"Olympia--Lacey, WA",65242.0,2024,Demand Response,106.21,208157.0,101.0,206183.0,Annual Total,812190.0,78361.0,137998.0
Intercity Transit,"Olympia--Lacey, WA",65242.0,2024,Bus,106.21,208157.0,101.0,206183.0,Annual Total,3251046.0,236495.0,4087404.0
Intercity Transit,"Olympia--Lacey, WA",65242.0,2024,Vanpool,106.21,208157.0,101.0,206183.0,Annual Total,2612749.0,73959.0,208164.0
"Kitsap County Public Transportation Benefit Area Authority, dba: Kitsap Transit","Bremerton, WA",9946.0,2024,Demand Response,146.91,224449.0,396.0,254183.0,Annual Total,1348846.0,89628.0,263324.0
"Kitsap County Public Transportation Benefit Area Authority, dba: Kitsap Transit","Bremerton, WA",9946.0,2024,Demand Response,146.91,224449.0,396.0,254183.0,Annual Total,29619.0,2553.0,1907.0
"Kitsap County Public Transportation Benefit Area Authority, dba: Kitsap Transit","Bremerton, WA",9946.0,2024,Ferryboat,146.91,224449.0,396.0,254183.0,Annual Total,337427.0,18657.0,1229269.0
"Kitsap County Public Transportation Benefit Area Authority, dba: Kitsap Transit","Bremerton, WA",9946.0,2024,Bus,146.91,224449.0,396.0,254183.0,Annual Total,2336300.0,123088.0,1655636.0
"Kitsap County Public Transportation Benefit Area Authority, dba: Kitsap Transit","Bremerton, WA",9946.0,2024,Vanpool,146.91,224449.0,396.0,254183.0,Annual Total,453489.0,15117.0,66885.0
Whatcom Transportation Authority,"Bellingham, WA",6652.0,2024,Demand Response,50.13,128979.0,776.0,237806.0,Annual Total,911228.0,63198.0,188042.0
Whatcom Transportation Authority,"Bellingham, WA",6652.0,2024,Bus,50.13,128979.0,776.0,237806.0,Annual Total,2151307.0,156754.0,3760005.0
Whatcom Transportation Authority,"Bellingham, WA",6652.0,2024,Vanpool,50.13,128979.0,776.0,237806.0,Annual Total,201162.0,3601.0,29687.0
"City of Pocatello, dba: Pocatello Regional Transit","Pocatello, ID",70426.0,2024,Demand Response,27.46,72211.0,5460.0,175045.0,Annual Total,365119.0,20130.0,70740.0
"City of Pocatello, dba: Pocatello Regional Transit","Pocatello, ID",70426.0,2024,Bus,27.46,72211.0,5460.0,175045.0,Annual Total,256241.0,17049.0,128019.0
"City of Seattle, dba: Seattle Center Monorail","Seattle--Tacoma, WA",80389.0,2024,Monorail/Automated Guideway,982.52,3544011.0,83.0,753655.0,Annual Total,222498.0,21336.0,2160883.0
"Clark County Public Transportation Benefit Area Authority, dba: C-TRAN","Portland, OR--WA",71317.0,2024,Demand Response,519.3,2104238.0,143.0,457472.0,Annual Total,1820495.0,106031.0,287792.0
"Clark County Public Transportation Benefit Area Authority, dba: C-TRAN","Portland, OR--WA",71317.0,2024,Bus,519.3,2104238.0,143.0,457472.0,Annual Total,4010328.0,286983.0,4657393.0
"Clark County Public Transportation Benefit Area Authority, dba: C-TRAN","Portland, OR--WA",71317.0,2024,Vanpool,519.3,2104238.0,143.0,457472.0,Annual Total,162435.0,5098.0,20509.0
