table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Annual Estimates of the Resident Population for Metropolitan Statistical Areas in the United States and Puerto Rico: April 1, 2020 to July 1, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,2021,2022,2023,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Bismarck, ND Metro Area","133,621","133,779","134,843","136,035","137,404","139,183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Blacksburg-Christiansburg-Radford, VA Metro Area","181,844","181,758","181,230","181,397","181,889","182,041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Bloomington, IL Metro Area","171,241","171,236","171,411","171,571","171,493","172,069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Bloomington, IN Metro Area","162,105","161,969","162,762","162,733","162,827","162,553",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Boise City, ID Metro Area","764,743","770,272","797,158","814,129","828,138","845,877",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Boston-Cambridge-Newton, MA-NH Metro Area","4,944,732","4,930,540","4,911,669","4,931,775","4,967,266","5,025,517",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"..Boston, MA Metro Division","2,057,767","2,049,443","2,033,912","2,040,182","2,051,864","2,075,988",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"..Cambridge-Newton-Framingham, MA Metro Division","2,441,855","2,435,359","2,427,868","2,439,844","2,461,129","2,492,894",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"..Rockingham County-Strafford County, NH Metro Division","445,110","445,738","449,889","451,749","454,273","456,635",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Boulder, CO Metro Area","330,770","330,953","327,133","328,039","328,419","330,262",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Bowling Green, KY Metro Area","179,638","180,069","182,549","186,420","190,604","195,159",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Bozeman, MT Metro Area","118,962","119,607","123,119","124,733","125,929","126,984",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Bremerton-Silverdale-Port Orchard, WA Metro Area","275,618","275,832","276,629","277,876","277,650","281,420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Bridgeport-Stamford-Danbury, CT Metro Area","946,662","943,159","950,726","953,585","961,501","972,679",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Brownsville-Harlingen, TX Metro Area","421,126","421,592","422,805","425,819","428,508","431,874",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Brunswick-St. Simons, GA Metro Area","113,498","113,520","113,952","114,588","116,178","117,135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Buffalo-Cheektowaga, NY Metro Area","1,166,870","1,164,486","1,164,777","1,159,211","1,158,070","1,160,172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Burlington, NC Metro Area","171,476","171,620","173,642","176,544","179,617","183,040",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Burlington-South Burlington, VT Metro Area","225,580","225,743","227,246","228,290","228,503","229,445",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Canton-Massillon, OH Metro Area","401,594","401,254","400,563","399,685","399,806","400,551",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Cape Coral-Fort Myers, FL Metro Area","760,822","765,566","791,013","826,567","844,226","860,959",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Cape Girardeau, MO-IL Metro Area","97,518","97,551","97,754","98,309","98,369","98,862",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Carson City, NV Metro Area","58,642","58,682","58,770","58,094","58,226","58,148",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Casper, WY Metro Area","79,964","80,300","79,642","79,565","79,968","80,410",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Cedar Rapids, IA Metro Area","276,530","276,637","276,051","275,663","276,088","278,677",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Chambersburg, PA Metro Area","155,948","155,951","156,589","157,017","158,054","159,285",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Champaign-Urbana, IL Metro Area","236,655","236,446","237,476","237,981","239,849","242,453",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Charleston, WV Metro Area","210,586","209,967","207,346","204,643","202,942","202,091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Charleston-North Charleston, SC Metro Area","799,642","803,525","814,941","831,230","851,698","869,940",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Charlotte-Concord-Gastonia, NC-SC Metro Area","2,660,162","2,668,364","2,706,843","2,761,265","2,822,194","2,883,370",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Charlottesville, VA Metro Area","221,525","221,635","223,302","224,000","225,400","227,336",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Chattanooga, TN-GA Metro Area","563,308","564,632","568,177","575,746","582,452","588,050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Cheyenne, WY Metro Area","100,510","100,733","100,843","100,860","101,079","101,783",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Chicago-Naperville-Elgin, IL-IN Metro Area","9,454,363","9,439,531","9,362,043","9,310,017","9,337,814","9,408,576",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"..Chicago-Naperville-Schaumburg, IL Metro Division","7,272,196","7,257,997","7,176,259","7,122,433","7,142,107","7,198,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"..Elgin, IL Metro Division","749,099","749,122","752,171","753,241","758,131","765,503",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"..Lake County, IL Metro Division","714,412","713,426","712,733","712,143","714,207","718,604",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"..Lake County-Porter County-Jasper County, IN Metro Division","718,656","718,986","720,880","722,200","723,369","726,333",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Chico, CA Metro Area","211,632","210,222","206,351","207,384","207,354","208,334",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Cincinnati, OH-KY-IN Metro Area","2,249,812","2,252,077","2,252,800","2,263,213","2,282,624","2,302,815",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Clarksville, TN-KY Metro Area","320,524","321,847","328,962","335,804","340,249","345,955",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Cleveland, OH Metro Area","2,185,745","2,184,232","2,170,886","2,164,363","2,166,272","2,171,877",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Cleveland, TN Metro Area","126,164","126,398","127,488","128,613","130,198","132,120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Coeur d'Alene, ID Metro Area","171,362","172,791","180,089","183,540","185,237","188,323",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".College Station-Bryan, TX Metro Area","268,245","268,965","272,697","278,389","284,160","287,462",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Colorado Springs, CO Metro Area","756,487","758,549","763,762","767,534","771,645","777,634",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Columbia, MO Metro Area","210,865","210,854","212,958","214,653","217,180","219,426",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Columbia, SC Metro Area","829,466","830,179","837,900","848,473","859,158","870,193",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Columbus, GA-AL Metro Area","328,872","329,195","326,487","324,118","323,936","324,343",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Columbus, IN Metro Area","82,204","82,215","82,732","83,746","84,248","84,741",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Columbus, OH Metro Area","2,138,980","2,142,023","2,147,585","2,168,930","2,195,029","2,225,377",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Corpus Christi, TX Metro Area","445,945","446,387","447,850","446,869","448,766","450,187",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Corvallis, OR Metro Area","95,186","93,615","93,031","97,406","98,566","98,899",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Crestview-Fort Walton Beach-Destin, FL Metro Area","286,971","287,988","293,422","300,215","305,962","310,149",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Dallas-Fort Worth-Arlington, TX Metro Area","7,638,258","7,667,594","7,776,611","7,973,603","8,166,110","8,344,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"..Dallas-Plano-Irving, TX Metro Division","5,130,425","5,151,851","5,229,766","5,375,360","5,513,383","5,641,795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"..Fort Worth-Arlington-Grapevine, TX Metro Division","2,507,833","2,515,743","2,546,845","2,598,243","2,652,727","2,702,237",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Dalton, GA Metro Area","142,848","142,806","142,705","143,684","145,219","146,386",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Daphne-Fairhope-Foley, AL Metro Area","231,767","233,244","239,411","246,577","254,107","261,608",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Davenport-Moline-Rock Island, IA-IL Metro Area","384,331","383,787","381,705","379,876","380,346","381,801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Dayton-Kettering-Beavercreek, OH Metro Area","814,040","814,231","813,905","813,980","816,546","821,740",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Decatur, AL Metro Area","156,510","156,404","156,322","157,400","158,960","159,651",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Decatur, IL Metro Area","103,996","103,764","102,619","101,369","100,754","100,737",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Deltona-Daytona Beach-Ormond Beach, FL Metro Area","668,919","671,784","687,477","707,455","724,514","739,516",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Denver-Aurora-Centennial, CO Metro Area","2,963,806","2,970,243","2,978,410","2,991,705","3,020,750","3,052,498",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Des Moines-West Des Moines, IA Metro Area","709,517","711,239","720,861","729,453","740,131","753,913",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Detroit-Warren-Dearborn, MI Metro Area","4,392,388","4,385,445","4,370,015","4,358,510","4,369,590","4,400,578",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"..Detroit-Dearborn-Livonia, MI Metro Division","1,793,896","1,789,655","1,775,196","1,763,011","1,762,371","1,771,063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"..Warren-Troy-Farmington Hills, MI Metro Division","2,598,492","2,595,790","2,594,819","2,595,499","2,607,219","2,629,515",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Dothan, AL Metro Area","151,016","151,174","151,456","152,488","153,480","154,766",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Dover, DE Metro Area","181,844","182,317","185,069","187,819","190,123","192,690",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Dubuque, IA Metro Area","99,275","99,310","98,863","98,748","98,988","99,242",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Duluth, MN-WI Metro Area","280,711","280,618","279,990","280,337","281,587","281,815",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Durham-Chapel Hill, NC Metro Area","588,910","582,086","592,921","601,788","611,301","620,522",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Eagle Pass, TX Metro Area","57,881","57,873","57,690","57,813","58,203","58,829",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Eau Claire, WI Metro Area","171,997","172,223","172,580","173,610","175,007","176,153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".El Centro, CA Metro Area","179,710","179,730","179,206","179,767","180,585","181,724",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Elizabethtown, KY Metro Area","125,568","125,717","126,905","126,941","127,724","127,954",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Elkhart-Goshen, IN Metro Area","207,058","207,009","207,093","207,161","206,963","207,436",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Elmira, NY Metro Area","84,152","83,677","83,064","81,598","81,279","81,115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".El Paso, TX Metro Area","868,912","869,877","870,978","872,344","878,319","879,392",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Enid, OK Metro Area","62,845","62,701","61,977","61,990","62,055","62,007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Erie, PA Metro Area","271,049","270,739","269,455","269,112","268,203","267,750",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Eugene-Springfield, OR Metro Area","382,974","384,221","386,082","386,187","382,151","382,396",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Evansville, IN Metro Area","269,239","269,524","270,018","270,133","271,002","271,793",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Fairbanks-College, AK Metro Area","95,667","95,349","95,553","95,749","95,700","94,951",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Fargo, ND-MN Metro Area","249,860","250,256","255,004","259,659","264,582","267,793",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Farmington, NM Metro Area","121,671","121,387","121,019","120,580","120,907","120,817",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Fayetteville, NC Metro Area","386,812","389,444","392,820","392,827","392,998","393,812",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Fayetteville-Springdale-Rogers, AR Metro Area","546,729","549,960","562,793","578,367","591,895","605,615",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
