"Label (Grouping)","Atlanta-Sandy Springs-Roswell, GA Metro Division; Atlanta-Sandy Springs-Roswell, GA Metro Area!!Number!!Estimate","Atlanta-Sandy Springs-Roswell, GA Metro Division; Atlanta-Sandy Springs-Roswell, GA Metro Area!!Percent Distribution!!Estimate","Atlanta-Sandy Springs-Roswell, GA Metro Division; Atlanta-Sandy Springs-Roswell, GA Metro Area!!Median income (dollars)!!Estimate","Marietta, GA Metro Division; Atlanta-Sandy Springs-Roswell, GA Metro Area!!Number!!Estimate","Marietta, GA Metro Division; Atlanta-Sandy Springs-Roswell, GA Metro Area!!Percent Distribution!!Estimate","Marietta, GA Metro Division; Atlanta-Sandy Springs-Roswell, GA Metro Area!!Median income (dollars)!!Estimate","Boston, MA Metro Division; Boston-Cambridge-Newton, MA-NH Metro Area!!Number!!Estimate","Boston, MA Metro Division; Boston-Cambridge-Newton, MA-NH Metro Area!!Percent Distribution!!Estimate","Boston, MA Metro Division; Boston-Cambridge-Newton, MA-NH Metro Area!!Median income (dollars)!!Estimate","Cambridge-Newton-Framingham, MA Metro Division; Boston-Cambridge-Newton, MA-NH Metro Area!!Number!!Estimate","Cambridge-Newton-Framingham, MA Metro Division; Boston-Cambridge-Newton, MA-NH Metro Area!!Percent Distribution!!Estimate","Cambridge-Newton-Framingham, MA Metro Division; Boston-Cambridge-Newton, MA-NH Metro Area!!Median income (dollars)!!Estimate","Rockingham County-Strafford County, NH Metro Division; Boston-Cambridge-Newton, MA-NH Metro Area!!Number!!Estimate","Rockingham County-Strafford County, NH Metro Division; Boston-Cambridge-Newton, MA-NH Metro Area!!Percent Distribution!!Estimate","Rockingham County-Strafford County, NH Metro Division; Boston-Cambridge-Newton, MA-NH Metro Area!!Median income (dollars)!!Estimate","Chicago-Naperville-Schaumburg, IL Metro Division; Chicago-Naperville-Elgin, IL-IN Metro Area!!Number!!Estimate","Chicago-Naperville-Schaumburg, IL Metro Division; Chicago-Naperville-Elgin, IL-IN Metro Area!!Percent Distribution!!Estimate","Chicago-Naperville-Schaumburg, IL Metro Division; Chicago-Naperville-Elgin, IL-IN Metro Area!!Median income (dollars)!!Estimate","Elgin, IL Metro Division; Chicago-Naperville-Elgin, IL-IN Metro Area!!Number!!Estimate","Elgin, IL Metro Division; Chicago-Naperville-Elgin, IL-IN Metro Area!!Percent Distribution!!Estimate","Elgin, IL Metro Division; Chicago-Naperville-Elgin, IL-IN Metro Area!!Median income (dollars)!!Estimate","Lake County, IL Metro Division; Chicago-Naperville-Elgin, IL-IN Metro Area!!Number!!Estimate","Lake County, IL Metro Division; Chicago-Naperville-Elgin, IL-IN Metro Area!!Percent Distribution!!Estimate","Lake County, IL Metro Division; Chicago-Naperville-Elgin, IL-IN Metro Area!!Median income (dollars)!!Estimate","Lake County-Porter County-Jasper County, IN Metro Division; Chicago-Naperville-Elgin, IL-IN Metro Area!!Number!!Estimate","Lake County-Porter County-Jasper County, IN Metro Division; Chicago-Naperville-Elgin, IL-IN Metro Area!!Percent Distribution!!Estimate","Lake County-Porter County-Jasper County, IN Metro Division; Chicago-Naperville-Elgin, IL-IN Metro Area!!Median income (dollars)!!Estimate","Dallas-Plano-Irving, TX Metro Division; Dallas-Fort Worth-Arlington, TX Metro Area!!Number!!Estimate","Dallas-Plano-Irving, TX Metro Division; Dallas-Fort Worth-Arlington, TX Metro Area!!Percent Distribution!!Estimate","Dallas-Plano-Irving, TX Metro Division; Dallas-Fort Worth-Arlington, TX Metro Area!!Median income (dollars)!!Estimate","Fort Worth-Arlington-Grapevine, TX Metro Division; Dallas-Fort Worth-Arlington, TX Metro Area!!Number!!Estimate","Fort Worth-Arlington-Grapevine, TX Metro Division; Dallas-Fort Worth-Arlington, TX Metro Area!!Percent Distribution!!Estimate","Fort Worth-Arlington-Grapevine, TX Metro Division; Dallas-Fort Worth-Arlington, TX Metro Area!!Median income (dollars)!!Estimate","Detroit-Dearborn-Livonia, MI Metro Division; Detroit-Warren-Dearborn, MI Metro Area!!Number!!Estimate","Detroit-Dearborn-Livonia, MI Metro Division; Detroit-Warren-Dearborn, MI Metro Area!!Percent Distribution!!Estimate","Detroit-Dearborn-Livonia, MI Metro Division; Detroit-Warren-Dearborn, MI Metro Area!!Median income (dollars)!!Estimate","Warren-Troy-Farmington Hills, MI Metro Division; Detroit-Warren-Dearborn, MI Metro Area!!Number!!Estimate","Warren-Troy-Farmington Hills, MI Metro Division; Detroit-Warren-Dearborn, MI Metro Area!!Percent Distribution!!Estimate","Warren-Troy-Farmington Hills, MI Metro Division; Detroit-Warren-Dearborn, MI Metro Area!!Median income (dollars)!!Estimate","Anaheim-Santa Ana-Irvine, CA Metro Division; Los Angeles-Long Beach-Anaheim, CA Metro Area!!Number!!Estimate","Anaheim-Santa Ana-Irvine, CA Metro Division; Los Angeles-Long Beach-Anaheim, CA Metro Area!!Percent Distribution!!Estimate","Anaheim-Santa Ana-Irvine, CA Metro Division; Los Angeles-Long Beach-Anaheim, CA Metro Area!!Median income (dollars)!!Estimate","Los Angeles-Long Beach-Glendale, CA Metro Division; Los Angeles-Long Beach-Anaheim, CA Metro Area!!Number!!Estimate","Los Angeles-Long Beach-Glendale, CA Metro Division; Los Angeles-Long Beach-Anaheim, CA Metro Area!!Percent Distribution!!Estimate","Los Angeles-Long Beach-Glendale, CA Metro Division; Los Angeles-Long Beach-Anaheim, CA Metro Area!!Median income (dollars)!!Estimate","Fort Lauderdale-Pompano Beach-Sunrise, FL Metro Division; Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Number!!Estimate","Fort Lauderdale-Pompano Beach-Sunrise, FL Metro Division; Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Percent Distribution!!Estimate","Fort Lauderdale-Pompano Beach-Sunrise, FL Metro Division; Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Median income (dollars)!!Estimate","Miami-Miami Beach-Kendall, FL Metro Division; Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Number!!Estimate","Miami-Miami Beach-Kendall, FL Metro Division; Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Percent Distribution!!Estimate","Miami-Miami Beach-Kendall, FL Metro Division; Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Median income (dollars)!!Estimate","West Palm Beach-Boca Raton-Delray Beach, FL Metro Division; Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Number!!Estimate","West Palm Beach-Boca Raton-Delray Beach, FL Metro Division; Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Percent Distribution!!Estimate","West Palm Beach-Boca Raton-Delray Beach, FL Metro Division; Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Median income (dollars)!!Estimate","Lakewood-New Brunswick, NJ Metro Division; New York-Newark-Jersey City, NY-NJ Metro Area!!Number!!Estimate","Lakewood-New Brunswick, NJ Metro Division; New York-Newark-Jersey City, NY-NJ Metro Area!!Percent Distribution!!Estimate","Lakewood-New Brunswick, NJ Metro Division; New York-Newark-Jersey City, NY-NJ Metro Area!!Median income (dollars)!!Estimate","Nassau County-Suffolk County, NY Metro Division; New York-Newark-Jersey City, NY-NJ Metro Area!!Number!!Estimate","Nassau County-Suffolk County, NY Metro Division; New York-Newark-Jersey City, NY-NJ Metro Area!!Percent Distribution!!Estimate","Nassau County-Suffolk County, NY Metro Division; New York-Newark-Jersey City, NY-NJ Metro Area!!Median income (dollars)!!Estimate","Newark, NJ Metro Division; New York-Newark-Jersey City, NY-NJ Metro Area!!Number!!Estimate","Newark, NJ Metro Division; New York-Newark-Jersey City, NY-NJ Metro Area!!Percent Distribution!!Estimate","Newark, NJ Metro Division; New York-Newark-Jersey City, NY-NJ Metro Area!!Median income (dollars)!!Estimate","New York-Jersey City-White Plains, NY-NJ Metro Division; New York-Newark-Jersey City, NY-NJ Metro Area!!Number!!Estimate","New York-Jersey City-White Plains, NY-NJ Metro Division; New York-Newark-Jersey City, NY-NJ Metro Area!!Percent Distribution!!Estimate","New York-Jersey City-White Plains, NY-NJ Metro Division; New York-Newark-Jersey City, NY-NJ Metro Area!!Median income (dollars)!!Estimate","Camden, NJ Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Number!!Estimate","Camden, NJ Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Percent Distribution!!Estimate","Camden, NJ Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Median income (dollars)!!Estimate","Montgomery County-Bucks County-Chester County, PA Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Number!!Estimate","Montgomery County-Bucks County-Chester County, PA Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Percent Distribution!!Estimate","Montgomery County-Bucks County-Chester County, PA Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Median income (dollars)!!Estimate","Philadelphia, PA Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Number!!Estimate","Philadelphia, PA Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Percent Distribution!!Estimate","Philadelphia, PA Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Median income (dollars)!!Estimate","Wilmington, DE-MD-NJ Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Number!!Estimate","Wilmington, DE-MD-NJ Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Percent Distribution!!Estimate","Wilmington, DE-MD-NJ Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Median income (dollars)!!Estimate","Oakland-Fremont-Berkeley, CA Metro Division; San Francisco-Oakland-Fremont, CA Metro Area!!Number!!Estimate","Oakland-Fremont-Berkeley, CA Metro Division; San Francisco-Oakland-Fremont, CA Metro Area!!Percent Distribution!!Estimate","Oakland-Fremont-Berkeley, CA Metro Division; San Francisco-Oakland-Fremont, CA Metro Area!!Median income (dollars)!!Estimate","San Francisco-San Mateo-Redwood City, CA Metro Division; San Francisco-Oakland-Fremont, CA Metro Area!!Number!!Estimate","San Francisco-San Mateo-Redwood City, CA Metro Division; San Francisco-Oakland-Fremont, CA Metro Area!!Percent Distribution!!Estimate","San Francisco-San Mateo-Redwood City, CA Metro Division; San Francisco-Oakland-Fremont, CA Metro Area!!Median income (dollars)!!Estimate","San Rafael, CA Metro Division; San Francisco-Oakland-Fremont, CA Metro Area!!Number!!Estimate","San Rafael, CA Metro Division; San Francisco-Oakland-Fremont, CA Metro Area!!Percent Distribution!!Estimate","San Rafael, CA Metro Division; San Francisco-Oakland-Fremont, CA Metro Area!!Median income (dollars)!!Estimate","Everett, WA Metro Division; Seattle-Tacoma-Bellevue, WA Metro Area!!Number!!Estimate","Everett, WA Metro Division; Seattle-Tacoma-Bellevue, WA Metro Area!!Percent Distribution!!Estimate","Everett, WA Metro Division; Seattle-Tacoma-Bellevue, WA Metro Area!!Median income (dollars)!!Estimate","Seattle-Bellevue-Kent, WA Metro Division; Seattle-Tacoma-Bellevue, WA Metro Area!!Number!!Estimate","Seattle-Bellevue-Kent, WA Metro Division; Seattle-Tacoma-Bellevue, WA Metro Area!!Percent Distribution!!Estimate","Seattle-Bellevue-Kent, WA Metro Division; Seattle-Tacoma-Bellevue, WA Metro Area!!Median income (dollars)!!Estimate","Tacoma-Lakewood, WA Metro Division; Seattle-Tacoma-Bellevue, WA Metro Area!!Number!!Estimate","Tacoma-Lakewood, WA Metro Division; Seattle-Tacoma-Bellevue, WA Metro Area!!Percent Distribution!!Estimate","Tacoma-Lakewood, WA Metro Division; Seattle-Tacoma-Bellevue, WA Metro Area!!Median income (dollars)!!Estimate","St. Petersburg-Clearwater-Largo, FL Metro Division; Tampa-St. Petersburg-Clearwater, FL Metro Area!!Number!!Estimate","St. Petersburg-Clearwater-Largo, FL Metro Division; Tampa-St. Petersburg-Clearwater, FL Metro Area!!Percent Distribution!!Estimate","St. Petersburg-Clearwater-Largo, FL Metro Division; Tampa-St. Petersburg-Clearwater, FL Metro Area!!Median income (dollars)!!Estimate","Tampa, FL Metro Division; Tampa-St. Petersburg-Clearwater, FL Metro Area!!Number!!Estimate","Tampa, FL Metro Division; Tampa-St. Petersburg-Clearwater, FL Metro Area!!Percent Distribution!!Estimate","Tampa, FL Metro Division; Tampa-St. Petersburg-Clearwater, FL Metro Area!!Median income (dollars)!!Estimate","Arlington-Alexandria-Reston, VA-WV Metro Division; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Number!!Estimate","Arlington-Alexandria-Reston, VA-WV Metro Division; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Percent Distribution!!Estimate","Arlington-Alexandria-Reston, VA-WV Metro Division; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Median income (dollars)!!Estimate","Frederick-Gaithersburg-Bethesda, MD Metro Division; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Number!!Estimate","Frederick-Gaithersburg-Bethesda, MD Metro Division; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Percent Distribution!!Estimate","Frederick-Gaithersburg-Bethesda, MD Metro Division; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Median income (dollars)!!Estimate","Washington, DC-MD Metro Division; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Number!!Estimate","Washington, DC-MD Metro Division; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Percent Distribution!!Estimate","Washington, DC-MD Metro Division; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Median income (dollars)!!Estimate"
"    5-person families","102,317","8.4%","118,650","28,498","7.7%","133,810","37,745","7.7%","191,530","49,385","8.0%","168,033","7,586","6.4%","205,071","152,557","8.8%","127,950","19,567","10.2%","142,864","14,724","8.0%","176,229","16,649","8.7%","118,499","129,717","9.4%","122,739","65,071","10.0%","121,906","33,068","7.9%","87,201","46,544","6.9%","149,020","76,885","9.9%","133,683","221,686","9.9%","114,063","36,776","7.6%","108,927","55,191","8.0%","104,710","23,122","5.9%","120,231","53,188","8.0%","164,064","70,523","9.9%","190,538","52,300","9.2%","161,389","229,092","8.1%","119,806","29,206","8.7%","146,384","39,796","7.2%","193,075","36,939","7.5%","99,693","15,922","8.4%","130,033","53,477","7.7%","177,443","22,805","6.6%","201,463","3,166","5.1%","179,761","16,742","7.8%","147,911","36,018","6.7%","190,045","20,666","8.6%","128,666","11,446","4.9%","117,617","45,458","7.5%","125,308","74,383","9.3%","173,977","31,041","9.1%","184,099","36,107","9.0%","146,861"
"    6-person families","37,798","3.1%","124,224","11,942","3.2%","124,698","12,008","2.4%","175,532","14,594","2.4%","213,807","2,465","2.1%","171,755","56,636","3.3%","138,133","7,220","3.8%","162,197","4,325","2.4%","190,199","6,884","3.6%","90,030","54,198","3.9%","132,022","29,708","4.5%","117,151","16,159","3.8%","65,638","15,850","2.3%","138,950","25,628","3.3%","133,659","97,187","4.3%","126,379","11,929","2.5%","130,668","19,389","2.8%","121,599","10,114","2.6%","128,486","17,554","2.6%","169,548","29,101","4.1%","180,215","17,562","3.1%","161,273","90,697","3.2%","120,535","8,975","2.7%","151,231","11,487","2.1%","167,641","13,457","2.7%","98,664","5,374","2.8%","104,759","21,466","3.1%","169,625","6,733","2.0%","242,036","732","1.2%","102,821","5,369","2.5%","149,435","12,609","2.3%","142,716","7,730","3.2%","156,583","2,012","0.9%","137,360","15,148","2.5%","140,095","26,981","3.4%","165,280","8,967","2.6%","177,457","11,904","3.0%","121,096"
"    7-or-more person families","23,339","1.9%","125,786","6,498","1.7%","119,928","4,556","0.9%","188,519","7,352","1.2%","180,266","795","0.7%","105,989","36,024","2.1%","126,067","4,051","2.1%","140,456","2,541","1.4%","153,531","2,814","1.5%","102,083","27,930","2.0%","119,006","15,773","2.4%","102,577","10,293","2.4%","62,296","7,538","1.1%","115,246","18,601","2.4%","172,771","70,294","3.1%","144,515","6,739","1.4%","151,563","13,039","1.9%","164,211","5,342","1.4%","118,944","19,066","2.9%","137,788","23,122","3.2%","214,978","9,394","1.6%","144,585","73,074","2.6%","131,290","4,858","1.5%","136,625","7,874","1.4%","135,400","6,091","1.2%","83,272","2,950","1.6%","123,963","13,438","1.9%","156,936","5,333","1.5%","172,204","236","0.4%","221,818","2,677","1.2%","169,181","7,845","1.5%","150,444","4,796","2.0%","139,075","1,523","0.7%","95,640","12,151","2.0%","129,159","17,401","2.2%","183,004","7,472","2.2%","154,311","9,402","2.3%","135,969"
"FAMILY INCOME BY NUMBER OF EARNERS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    No earners","137,653","11.4%","53,412","43,944","11.8%","60,973","55,003","11.2%","63,199","67,996","11.0%","68,011","13,595","11.5%","84,112","213,697","12.3%","57,985","20,617","10.7%","79,386","24,197","13.2%","67,298","32,901","17.2%","52,492","127,448","9.2%","54,721","67,965","10.4%","54,454","71,231","16.9%","39,371","102,501","15.1%","66,479","90,777","11.7%","69,811","252,108","11.2%","37,594","58,500","12.1%","46,719","71,912","10.4%","26,754","73,377","18.9%","74,170","85,889","12.9%","72,352","88,397","12.4%","86,532","63,151","11.1%","62,404","372,528","13.1%","29,746","41,472","12.4%","64,441","73,789","13.4%","78,615","67,164","13.6%","30,879","25,081","13.3%","70,411","82,111","11.8%","76,409","40,686","11.8%","69,782","8,806","14.1%","105,049","24,422","11.4%","68,196","55,518","10.3%","82,178","33,169","13.8%","65,840","51,968","22.2%","65,403","99,069","16.4%","54,061","79,415","9.9%","95,121","32,947","9.7%","103,110","41,312","10.3%","45,619"
"    1 earner","386,656","31.9%","75,682","104,504","28.1%","82,884","128,228","26.0%","89,226","154,027","24.9%","100,336","33,245","28.2%","89,574","507,690","29.3%","72,757","48,883","25.5%","83,718","50,816","27.7%","100,473","60,058","31.4%","74,342","411,266","29.8%","75,717","196,287","30.0%","70,194","154,844","36.8%","53,072","195,614","28.8%","86,220","223,784","28.9%","93,422","696,601","31.0%","68,033","149,675","30.9%","66,329","227,328","32.9%","53,328","120,148","30.9%","75,578","183,828","27.7%","98,701","181,168","25.3%","117,044","158,362","27.7%","85,557","899,701","31.7%","68,447","99,145","29.6%","81,726","141,446","25.7%","101,966","161,483","32.7%","56,319","52,746","28.0%","70,993","212,808","30.7%","104,632","93,054","27.0%","118,735","19,047","30.5%","169,173","67,376","31.4%","90,717","153,851","28.5%","110,960","72,507","30.2%","80,332","69,846","29.9%","76,463","184,256","30.6%","71,066","207,612","25.9%","115,525","87,043","25.6%","110,576","123,444","30.7%","81,711"
"    2 earners","518,437","42.8%","135,196","172,307","46.3%","147,709","224,790","45.7%","177,752","294,437","47.7%","189,945","55,247","46.8%","156,051","741,485","42.7%","146,541","85,458","44.6%","136,718","80,457","43.8%","161,840","74,672","39.0%","119,936","636,398","46.2%","140,987","288,597","44.2%","123,230","148,270","35.2%","113,086","287,529","42.4%","137,974","327,542","42.2%","162,631","893,968","39.8%","128,580","205,814","42.5%","116,549","284,554","41.2%","106,445","148,891","38.3%","123,088","278,310","41.9%","169,102","303,505","42.4%","182,274","254,784","44.6%","165,276","1,164,116","41.0%","145,129","139,221","41.6%","151,042","252,759","46.0%","174,859","209,722","42.5%","116,494","83,709","44.4%","136,162","305,921","44.1%","200,472","163,795","47.6%","250,000+","29,536","47.3%","250,000+","94,231","43.9%","168,497","271,990","50.5%","212,234","103,097","42.9%","145,506","87,435","37.4%","127,368","247,617","41.1%","124,099","391,918","49.0%","197,947","164,456","48.3%","200,416","178,391","44.4%","170,055"
"    3 or more earners","169,786","14.0%","150,928","51,333","13.8%","154,587","84,231","17.1%","194,586","100,887","16.3%","207,853","15,953","13.5%","207,829","271,928","15.7%","162,322","36,842","19.2%","162,807","28,277","15.4%","182,836","23,892","12.5%","160,101","202,978","14.7%","151,299","100,373","15.4%","149,068","46,689","11.1%","141,380","92,451","13.6%","170,082","133,242","17.2%","170,369","401,768","17.9%","152,657","70,806","14.6%","140,895","107,041","15.5%","131,334","46,822","12.0%","145,054","115,685","17.4%","201,042","142,461","19.9%","208,484","95,023","16.6%","186,384","404,244","14.2%","164,948","55,005","16.4%","181,716","81,815","14.9%","200,221","55,612","11.3%","148,378","27,119","14.4%","160,474","93,382","13.5%","204,216","46,738","13.6%","217,952","5,077","8.1%","218,990","28,767","13.4%","215,512","57,727","10.7%","217,665","31,532","13.1%","177,954","24,369","10.4%","151,108","71,905","11.9%","154,811","121,261","15.2%","206,037","55,787","16.4%","213,660","58,858","14.6%","196,476"
"NONFAMILY HOUSEHOLDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Nonfamily households","648,920","648,920","58,101","156,806","156,806","62,460","338,307","338,307","76,650","339,598","339,598","70,479","64,696","64,696","56,002","1,131,504","1,131,504","57,099","84,431","84,431","51,600","77,285","77,285","55,264","95,312","95,312","42,241","674,182","674,182","61,369","307,361","307,361","52,491","286,628","286,628","37,231","392,011","392,011","51,583","322,784","322,784","76,218","1,241,365","1,241,365","61,622","271,245","271,245","50,955","311,702","311,702","45,499","234,339","234,339","52,202","281,105","281,105","61,759","254,530","254,530","67,003","258,776","258,776","59,346","1,901,265","1,901,265","62,019","160,571","160,571","58,344","250,685","250,685","62,453","425,280","425,280","47,213","101,994","101,994","53,974","336,139","336,139","71,984","293,817","293,817","102,932","39,508","39,508","77,475","111,571","111,571","67,347","431,088","431,088","81,758","121,806","121,806","61,634","200,983","200,983","49,777","339,880","339,880","48,296","372,552","372,552","91,530","157,258","157,258","76,985","343,276","343,276","78,102"
"        Female householder","350,945","54.1%","53,528","89,762","57.2%","59,153","191,672","56.7%","70,647","189,038","55.7%","62,035","35,116","54.3%","48,035","614,319","54.3%","50,887","45,496","53.9%","44,943","42,655","55.2%","46,312","50,932","53.4%","36,852","348,042","51.6%","56,348","163,624","53.2%","46,181","151,743","52.9%","33,962","210,447","53.7%","45,216","177,372","55.0%","67,821","643,628","51.8%","55,989","142,634","52.6%","44,136","161,564","51.8%","37,178","133,339","56.9%","47,299","166,531","59.2%","54,115","143,567","56.4%","58,305","143,939","55.6%","51,698","1,063,027","55.9%","55,224","91,573","57.0%","49,537","141,003","56.2%","56,536","238,205","56.0%","43,229","51,791","50.8%","49,151","182,085","54.2%","64,765","145,926","49.7%","91,762","25,083","63.5%","67,601","58,713","52.6%","57,068","209,819","48.7%","71,375","63,732","52.3%","55,801","113,226","56.3%","46,097","181,339","53.4%","43,573","191,924","51.5%","82,319","93,236","59.3%","69,803","199,292","58.1%","77,313"
"            Living alone","295,514","45.5%","48,039","71,542","45.6%","51,652","146,276","43.2%","50,764","144,430","42.5%","47,218","28,788","44.5%","39,420","521,429","46.1%","44,140","38,572","45.7%","38,862","36,849","47.7%","43,845","44,641","46.8%","32,338","293,530","43.5%","49,300","136,937","44.6%","40,649","134,713","47.0%","31,381","180,298","46.0%","39,524","135,526","42.0%","57,141","504,310","40.6%","45,381","120,224","44.3%","38,269","131,871","42.3%","30,796","111,476","47.6%","39,421","144,842","51.5%","48,348","121,199","47.6%","50,817","121,718","47.0%","45,460","881,225","46.3%","45,348","80,389","50.1%","43,247","115,598","46.1%","47,531","198,406","46.7%","34,925","43,151","42.3%","41,863","147,256","43.8%","54,233","111,823","38.1%","71,972","21,166","53.6%","61,089","46,109","41.3%","47,179","161,634","37.5%","57,970","50,275","41.3%","47,702","93,124","46.3%","40,366","145,922","42.9%","36,092","161,123","43.2%","75,761","80,087","50.9%","61,986","167,032","48.7%","71,259"
"            Not living alone","55,431","8.5%","97,414","18,220","11.6%","91,209","45,396","13.4%","134,830","44,608","13.1%","131,308","6,328","9.8%","125,948","92,890","8.2%","106,740","6,924","8.2%","79,965","5,806","7.5%","90,210","6,291","6.6%","72,163","54,512","8.1%","110,403","26,687","8.7%","93,073","17,030","5.9%","77,924","30,149","7.7%","89,597","41,846","13.0%","117,166","139,318","11.2%","106,844","22,410","8.3%","95,210","29,693","9.5%","82,303","21,863","9.3%","95,323","21,689","7.7%","116,518","22,368","8.8%","128,581","22,221","8.6%","114,752","181,802","9.6%","132,004","11,184","7.0%","119,762","25,405","10.1%","104,837","39,799","9.4%","90,438","8,640","8.5%","96,624","34,829","10.4%","128,073","34,103","11.6%","184,497","3,917","9.9%","79,749","12,604","11.3%","108,013","48,185","11.2%","134,985","13,457","11.0%","101,151","20,102","10.0%","90,474","35,417","10.4%","86,139","30,801","8.3%","134,534","13,149","8.4%","121,491","32,260","9.4%","129,528"
"        Male householder","297,975","45.9%","64,295","67,044","42.8%","67,226","146,635","43.3%","84,102","150,560","44.3%","81,079","29,580","45.7%","61,635","517,185","45.7%","64,600","38,935","46.1%","63,748","34,630","44.8%","67,286","44,380","46.6%","51,282","326,140","48.4%","66,376","143,737","46.8%","61,608","134,885","47.1%","41,702","181,564","46.3%","60,800","145,412","45.0%","86,790","597,737","48.2%","67,796","128,611","47.4%","60,817","150,138","48.2%","52,364","101,000","43.1%","65,261","114,574","40.8%","74,484","110,963","43.6%","81,244","114,837","44.4%","66,404","838,238","44.1%","71,600","68,998","43.0%","73,168","109,682","43.8%","70,146","187,075","44.0%","51,540","50,203","49.2%","60,900","154,054","45.8%","82,965","147,891","50.3%","120,835","14,425","36.5%","91,881","52,858","47.4%","80,826","221,269","51.3%","94,809","58,074","47.7%","69,087","87,757","43.7%","54,209","158,541","46.6%","54,398","180,628","48.5%","101,778","64,022","40.7%","86,454","143,984","41.9%","79,976"
"            Living alone","233,743","36.0%","56,268","49,464","31.5%","57,338","104,177","30.8%","66,351","109,451","32.2%","60,255","22,420","34.7%","55,012","402,594","35.6%","55,203","29,490","34.9%","51,739","26,665","34.5%","57,115","37,718","39.6%","44,090","251,080","37.2%","59,591","111,919","36.4%","53,165","116,713","40.7%","39,239","147,114","37.5%","52,291","100,135","31.0%","66,667","431,838","34.8%","53,609","99,499","36.7%","50,726","114,723","36.8%","46,787","76,998","32.9%","53,039","92,028","32.7%","67,081","86,228","33.9%","66,938","90,767","35.1%","58,207","640,292","33.7%","55,122","54,588","34.0%","61,720","83,206","33.2%","60,342","146,447","34.4%","43,688","38,674","37.9%","52,522","113,031","33.6%","65,775","103,835","35.3%","89,247","9,363","23.7%","72,100","36,812","33.0%","63,922","160,030","37.1%","77,242","42,060","34.5%","52,209","68,907","34.3%","47,625","119,090","35.0%","44,315","134,767","36.2%","90,253","49,969","31.8%","75,701","112,200","32.7%","68,198"
